gene,n_cohorts_up,n_cohorts_down,mean_d,median_d,dominant_direction
HIF1A,5,0,0.39480000000000004,0.292,↑
VEGFA,3,2,0.1864,0.157,↑
SLC2A1,4,1,0.09380000000000002,0.133,↑
LDHA,5,0,0.7634,0.61,↑
PDK1,4,1,0.22319999999999998,0.244,↑
IL6,3,2,0.0030000000000000027,0.017,↑
TNF,1,4,-0.1892,-0.168,↓
CXCL8,2,3,-0.4784,-0.208,↓
STAT3,4,1,0.5114,0.421,↑
MMP9,4,1,0.4912000000000001,0.478,↑
