threshold,XGBoost_(calibrated),XGBoost,Logistic_Regression,Baseline_(demog_only),treat_all,treat_none
0.01,0.4184266911539639,0.41888582797673707,0.4184266911539639,0.4184266911539639,0.4184266911539639,0.0
0.02,0.4124922696351268,0.41465677179962895,0.4124922696351268,0.4124922696351268,0.4124922696351268,0.0
0.03,0.4064354889097157,0.4111215245235864,0.4064354889097157,0.4064354889097157,0.4064354889097157,0.0
0.04,0.40025252525252525,0.4065656565656566,0.40025252525252525,0.40025252525252525,0.40025252525252525,0.0
0.05,0.3939393939393939,0.4019138755980861,0.3939393939393939,0.3939393939393939,0.393939393939394,0.0
0.060000000000000005,0.38749194068343007,0.3839458413926499,0.38749194068343007,0.38749194068343007,0.38749194068343007,0.0
0.06999999999999999,0.3809058325187358,0.37943955685891173,0.3809058325187358,0.3809058325187358,0.3809058325187358,0.0
0.08,0.37417654808959155,0.37615283267457184,0.37417654808959155,0.37417654808959155,0.3741765480895916,0.0
0.09,0.3672993672993673,0.35947385947385946,0.3687978687978688,0.3672993672993673,0.3672993672993673,0.0
0.09999999999999999,0.3602693602693603,0.3552188552188552,0.36363636363636365,0.3602693602693603,0.3602693602693603,0.0
0.11,0.35308137555328567,0.3375893769152196,0.3568266939053456,0.35308137555328567,0.35308137555328567,0.0
0.12,0.34573002754820936,0.3333333333333333,0.3519283746556474,0.34573002754820936,0.34573002754820936,0.0
0.13,0.3382096830372692,0.32897944966910486,0.3343782654127482,0.3382096830372692,0.3382096830372693,0.0
0.14,0.33051444679351655,0.3118393234672304,0.31501057082452427,0.32276250880902047,0.3305144467935166,0.0
0.15000000000000002,0.3226381461675579,0.31016042780748665,0.3083778966131907,0.31550802139037437,0.3226381461675579,0.0
0.16,0.31457431457431456,0.2907647907647908,0.30735930735930733,0.3080808080808081,0.3145743145743146,0.0
0.17,0.3063161737860533,0.29262504563709385,0.3008397225264695,0.3004746257758306,0.3063161737860533,0.0
0.18000000000000002,0.29785661492978566,0.2919438285291944,0.2941611234294161,0.29268292682926833,0.29785661492978566,0.0
0.19,0.289188178077067,0.2880658436213992,0.2944257388701833,0.29536101758323985,0.289188178077067,0.0
0.2,0.2803030303030303,0.2840909090909091,0.28787878787878785,0.2878787878787879,0.28030303030303033,0.0
0.21000000000000002,0.271192942079018,0.28404296125815115,0.28922132719601074,0.2802071346375144,0.271192942079018,0.0
0.22,0.2618492618492618,0.28010878010878015,0.27195027195027194,0.27233877233877235,0.2618492618492619,0.0
0.23,0.2794175521448249,0.2851239669421488,0.26564344746162927,0.26426603699330975,0.252262888626525,0.0
0.24000000000000002,0.28548644338118023,0.28149920255183414,0.24880382775119617,0.25598086124401914,0.24242424242424243,0.0
0.25,0.2878787878787879,0.2777777777777778,0.24242424242424243,0.24747474747474751,0.23232323232323238,0.0
0.26,0.2858312858312858,0.273955773955774,0.2411957411957412,0.2342342342342342,0.22194922194922198,0.0
0.27,0.284142797841428,0.2700290577002906,0.24034869240348694,0.2258198422581984,0.21129099211290994,0.0
0.28,0.2946127946127946,0.265993265993266,0.2398989898989899,0.21717171717171713,0.20033670033670034,0.0
0.29000000000000004,0.29428083653435766,0.2618437900128041,0.2522407170294494,0.2082799829278702,0.1890738369611609,0.0
0.3,0.28787878787878785,0.2640692640692641,0.21645021645021645,0.1991341991341991,0.1774891774891775,0.0
0.31,0.279754062362758,0.25999121651295565,0.19565217391304346,0.18972332015810273,0.1655687307861221,0.0
0.32,0.2727272727272727,0.2557932263814617,0.18983957219251335,0.18003565062388588,0.15329768270944744,0.0
0.33,0.2593848937132519,0.2514699231117142,0.18385345997286293,0.1700587969244685,0.1406603346901854,0.0
0.34,0.25390266299357206,0.2470156106519743,0.17768595041322313,0.1225895316804407,0.12764003673094582,0.0
0.35000000000000003,0.24825174825174823,0.24242424242424243,0.1713286713286713,0.113053613053613,0.11421911421911424,0.0
0.36000000000000004,0.22727272727272727,0.22253787878787876,0.1732954545454545,0.10321969696969688,0.10037878787878785,0.0
0.37,0.23015873015873017,0.21765271765271765,0.1669071669071669,0.09307359307359303,0.08609908609908612,0.0
0.38,0.20918866080156406,0.21260997067448678,0.1603128054740958,0.09530791788856305,0.07135874877810366,0.0
0.39,0.21286636860407354,0.20740188772975657,0.15350223546944858,0.08569299552906107,0.05613512170889223,0.0
0.4,0.202020202020202,0.202020202020202,0.14646464646464644,0.07575757575757572,0.04040404040404044,0.0
