feature,importance
heart_rate,188
crp,167
creatinine,157
dbp,136
lymphocytes,135
sodium,128
temperature,128
ast,123
platelets,115
glucose,105
age_percentile,105
urea,105
hgb,103
neutrophiles,93
alt,89
leukocytes,87
spo2,81
resp_rate,68
lactate,62
d_dimer,57
sbp,51
bilirubin,48
potassium,46
inr,24
aptt,22
htn,22
sex,16
age_65plus,2
immunocomp,0
albumin,0
